ID_jogador,jogador,time,gols,assistencias,total
1,Tadala,time1,3,0,3
2,Volvo,time1,0,2,2
3,Arturito,time1,2,0,2
4,Gugu,time1,0,2,2
5,Deivu,time1,0,1,1
6,Kaká,time1,1,0,1
7,Jão,time1,1,0,1
8,Rod,time1,1,0,1
9,Davi P.,time1,0,1,1
10,Gregu,time1,1,0,1
11,Cecigol,time1,0,0,0
12,Miguel,time1,0,0,0
13,Matheus,time1,2,0,2
14,Adriano,time1,1,0,1
15,Adão,time1,0,0,0
16,Geovany,time1,0,0,0
17,Luiro,time1,0,0,0
18,Fernando,time1,0,0,0
19,João 69,time1,0,0,0
20,José,time1,0,0,0
21,Tigrinho,time1,0,0,0
22,Nego,time1,0,0,0
23,sandu,time1,3,0,3
